influencer_id,name,category,gender,follower_count,platform
INF001,Ishaan Kapoor,health,Male,3291232,X
INF002,Vihaan Reddy,sports,Female,3339644,Instagram
INF003,Arjun Mehta,bodybuilding,Female,10000,X
INF004,Diya Joshi,bodybuilding,Male,3156490,X
INF005,Zara Mishra,bodybuilding,Female,10000,YouTube
INF006,Vihaan Kapoor,sports,Female,3006805,Instagram
INF007,Jhanvi Patel,health,Male,336025,YouTube
INF008,Diya Reddy,bodybuilding,Female,3189768,YouTube
INF009,Myra Reddy,medical,Female,10000,Instagram
INF010,Vihaan Gupta,sports,Male,252798,X
INF011,Diya Sharma,bodybuilding,Male,10000,Instagram
INF012,Krishna Reddy,health,Male,21293,Instagram
INF013,Myra Verma,nutrition,Male,799655,Instagram
INF014,Kiara Sharma,health,Male,10000,X
INF015,Ananya Reddy,nutrition,Female,1257326,Facebook
INF016,Zara Reddy,health,Male,196859,Instagram
INF017,Tanya Reddy,sports,Female,10000,YouTube
INF018,Reyansh Reddy,medical,Male,10000,Instagram
INF019,Arjun Desai,health,Female,3468169,YouTube
INF020,Krishna Mishra,nutrition,Male,2060962,Instagram
INF021,Tanya Patel,nutrition,Male,10000,YouTube
INF022,Vihaan Sharma,nutrition,Male,3377769,X
INF023,Aarav Gupta,nutrition,Male,1291424,Instagram
INF024,Zara Gupta,health,Male,2383472,X
INF025,Sai Patel,health,Male,2496762,Instagram
